Unnamed: 0.1,Hsc 20,Hsc 20.1,Height_column1,Height_column2,Index_column3,Index_column4
POP,,,,,,
COR_12_1_Hos,234.0,234.0,5747.0,5747.0,3283.0,3283.0
COR_12_2_Hos,200.0,212.0,6458.0,3478.0,2888.0,3014.0
COR_12_4_Hos,216.0,216.0,7973.0,7973.0,3036.0,3036.0
COR_12_5_Hos,200.0,230.0,8250.0,2428.0,2865.0,3182.0
COR_12_6_Hos,216.0,234.0,6979.0,3343.0,3027.0,3214.0
COR_12_7_Hos,216.0,230.0,4837.0,4061.0,3049.0,3198.0
COR_12_8_Hos,210.0,230.0,7328.0,1620.0,2993.0,3204.0
COR_12_9_Hos,198.0,212.0,9339.0,8237.0,2919.0,3071.0
COR_12_10_Hos,214.0,214.0,7352.0,7352.0,3049.0,3049.0
COR_12_11_Hos,224.0,226.0,4749.0,4749.0,3130.0,3130.0
COR_12_12_Hos,214.0,216.0,7432.0,7432.0,3013.0,3013.0
COR_12_13_Hos,214.0,218.0,8476.0,5406.0,3003.0,3042.0
COR_12_14_Hos,198.0,198.0,13358.0,13358.0,2869.0,2869.0
COR_12_15_Hos,214.0,214.0,5921.0,5921.0,3036.0,3036.0
COR_12_16_Hos,200.0,230.0,11477.0,2781.0,2902.0,3221.0
COR_12_17_Hos,214.0,214.0,5554.0,5554.0,3086.0,3086.0
COR_12_18_Hos,210.0,216.0,10394.0,3158.0,3002.0,3063.0
COR_12_19_Hos,192.0,192.0,4718.0,4718.0,2803.0,2803.0
COR_12_20_Hos,214.0,214.0,10394.0,10394.0,3038.0,3038.0
COR_12_21_Hos,216.0,216.0,8805.0,8805.0,3035.0,3035.0
COR_12_22_Hos,196.0,214.0,10212.0,6419.0,2823.0,3012.0
COR_12_23_Hos,212.0,214.0,9588.0,9588.0,3007.0,3007.0
COR_12_24_Hos,214.0,232.0,5451.0,4004.0,3043.0,3235.0
COR_12_25_Hos,212.0,214.0,11436.0,11436.0,3099.0,3099.0
COR_12_26_Hos,210.0,216.0,6997.0,5733.0,3024.0,3090.0
COR_12_27_Hos,214.0,240.0,8497.0,2885.0,3018.0,3290.0
COR_12_28_Hos,212.0,212.0,3015.0,3015.0,3013.0,3013.0
COR_12_29_Hos,228.0,230.0,4360.0,4360.0,3171.0,3171.0
COR_12_30_Hos,214.0,226.0,11052.0,3512.0,3060.0,3188.0
COR_12_31_Hos,210.0,220.0,10546.0,4357.0,2999.0,3103.0
COR_12_33_Hos,198.0,214.0,4986.0,2509.0,2942.0,3114.0
COR_12_34_Hos,202.0,202.0,2859.0,2859.0,2947.0,2947.0
COR_12_35_Hos,216.0,234.0,9582.0,5141.0,3089.0,3281.0
COR_12_36_Hos,214.0,216.0,6541.0,6541.0,3057.0,3057.0
COR_12_37_Hos,214.0,220.0,2827.0,3377.0,3042.0,3106.0
COR_12_38_Hos,210.0,226.0,12199.0,2057.0,3006.0,3175.0
COR_12_39_Hos,214.0,220.0,2075.0,3393.0,3072.0,3136.0
COR_12_40_Hos,202.0,216.0,7958.0,2251.0,2957.0,3107.0
COR_12_41_Hos,208.0,214.0,7153.0,6969.0,3098.0,3165.0
COR_12_42_Hos,212.0,220.0,10831.0,8691.0,3096.0,3182.0
COR_12_43_Hos,210.0,214.0,4312.0,2351.0,3046.0,3088.0
COR_12_44_Hos,214.0,234.0,3443.0,4028.0,3075.0,3290.0
COR_12_45_Hos,210.0,234.0,9378.0,4319.0,3042.0,3299.0
COR_12_46_Hos,214.0,220.0,11592.0,6211.0,3078.0,3141.0
COR_12_47_Hos,210.0,212.0,12863.0,12863.0,3031.0,3031.0
COR_12_48_Hos,198.0,214.0,18650.0,12277.0,2956.0,3131.0
COR_12_49_Hos,210.0,224.0,7346.0,3352.0,3135.0,3287.0
COR_12_50_Hos,210.0,236.0,8852.0,3292.0,3104.0,3387.0
COR_12_51_Hos,210.0,212.0,16308.0,16308.0,3086.0,3086.0
POP,,,,,,
GUI_12_1,200.0,206.0,7215.0,8013.0,2959.0,3024.0
GUI_12_2,210.0,212.0,9901.0,9901.0,3077.0,3077.0
GUI_12_4,222.0,200.0,2957.0,10734.0,3256.0,2996.0
GUI_12_5,214.0,214.0,11391.0,11391.0,3174.0,3174.0
GUI_12_6,200.0,198.0,17145.0,17145.0,2943.0,2943.0
GUI_12_7,200.0,218.0,11338.0,4472.0,2934.0,3126.0
GUI_12_8,214.0,218.0,9573.0,4959.0,3113.0,3153.0
GUI_12_9_Hos,214.0,218.0,9825.0,5482.0,3102.0,3143.0
GUI_12_10_Hos,212.0,218.0,10049.0,5101.0,3101.0,3165.0
GUI_12_11_Hos,214.0,218.0,6189.0,4668.0,3156.0,3199.0
GUI_12_12_Hos,200.0,210.0,5017.0,4348.0,2990.0,3123.0
GUI_12_13_Hos,214.0,214.0,2629.0,2629.0,3137.0,3137.0
GUI_12_14_Hos,214.0,200.0,8352.0,7572.0,3140.0,2966.0
GUI_12_15_Hos,214.0,218.0,2634.0,3672.0,3131.0,3175.0
GUI_12_16_Hos,222.0,222.0,213.0,213.0,3249.0,3249.0
GUI_12_17_Hos,212.0,224.0,1654.0,755.0,3098.0,3227.0
GUI_12_18_Hos,216.0,200.0,461.0,884.0,3214.0,3017.0
GUI_12_19_Hos,228.0,232.0,1197.0,1489.0,3278.0,3322.0
GUI_12_20_Hos,220.0,200.0,3562.0,6735.0,3249.0,3031.0
GUI_12_21_Hos,200.0,200.0,21131.0,21131.0,2971.0,2971.0
GUI_12_22_Hos,224.0,224.0,5272.0,5272.0,3209.0,3209.0
GUI_12_23_Hos,214.0,232.0,2462.0,1482.0,3109.0,3302.0
GUI_12_24_Hos,220.0,230.0,3241.0,4454.0,3156.0,3266.0
GUI_12_25_Hos,206.0,214.0,8065.0,7331.0,2974.0,3060.0
GUI_12_26_Hos,200.0,214.0,7980.0,7090.0,2934.0,3086.0
