Filename,Label,Area,No. of peaks,Length,Height of peaks
COR_12_1_Hos,0,21355.0,10,44.0,366
COR_12_1_Hos,0,19488.0,9,47.0,347
COR_12_1_Hos,0,17627.0,8,49.0,117
COR_12_1_Hos,0,14589.5,7,51.0,110
COR_12_1_Hos,0,10214.5,7,53.0,152
COR_12_1_Hos,0,8788.5,9,55.0,137
COR_12_1_Hos,0,6647.5,9,62.0,96
COR_12_1_Hos,0,4185.5,9,66.0,63
COR_12_1_Hos,0,12673.0,7,69.0,759
COR_12_1_Hos,0,11575.5,6,74.0,31
COR_12_1_Hos,0,17587.5,9,84.0,934
COR_12_1_Hos,0,25005.5,8,89.0,542
COR_12_1_Hos,0,12789.5,6,94.0,87
COR_12_1_Hos,0,6047.5,5,97.0,61
COR_12_1_Hos,0,2844.5,8,103.0,64
COR_12_1_Hos,0,5675.5,8,105.0,386
COR_12_1_Hos,0,7756.5,6,112.0,267
COR_12_1_Hos,0,126428.5,7,121.0,13092
COR_12_1_Hos,0,125744.0,8,123.0,319
COR_12_1_Hos,0,90857.5,8,127.0,620
COR_12_1_Hos,0,7696.5,7,134.0,225
COR_12_1_Hos,0,535.0,2,149.0,34
COR_12_1_Hos,0,3870.5,3,159.0,483
COR_12_1_Hos,0,10863.0,5,162.0,569
COR_12_1_Hos,0,2851.0,10,174.0,123
COR_12_1_Hos,0,3102.0,8,175.0,80
COR_12_1_Hos,0,4115.5,7,180.0,138
COR_12_1_Hos,0,3602.5,5,181.0,131
COR_12_1_Hos,0,1836.5,4,187.0,36
COR_12_1_Hos,0,1583.0,4,190.0,61
COR_12_1_Hos,0,2283.0,4,192.0,117
COR_12_1_Hos,0,24181.0,7,214.0,2395
COR_12_1_Hos,0,22530.0,4,219.0,34
COR_12_1_Hos,0,4540.0,5,224.0,446
COR_12_1_Hos,0,5819.5,5,228.0,173
COR_12_1_Hos,0,1276.5,6,236.0,28
COR_12_1_Hos,0,2337.5,7,240.0,123
COR_12_1_Hos,0,2884.5,6,243.0,32
COR_12_1_Hos,0,2409.0,5,253.0,108
COR_12_1_Hos,0,2747.5,7,255.0,48
COR_12_1_Hos,0,1295.0,6,272.0,36
COR_12_1_Hos,0,7121.0,6,278.0,516
COR_12_1_Hos,0,1077.0,4,285.0,37
COR_12_1_Hos,0,1300.0,5,291.0,32
COR_12_1_Hos,0,2644.0,6,295.0,154
COR_12_1_Hos,0,10404.5,7,299.0,1012
COR_12_1_Hos,1,46496.0,7,303.0,4775
COR_12_1_Hos,0,39053.0,6,307.0,61
COR_12_1_Hos,0,1572.0,5,316.0,63
COR_12_1_Hos,0,2630.0,5,318.0,194
COR_12_1_Hos,0,485.0,1,335.0,47
COR_12_1_Hos,0,1534.0,2,344.0,163
COR_12_1_Hos,0,19056.0,6,353.0,1001
COR_12_1_Hos,0,1476.5,3,363.0,134
